fold,segment,n_skus,vol_26w
2,erratic,37,19803.0
2,lumpy,33,14594.0
2,intermittent,14,6462.0
2,promo_driven,3,1489.0
2,cold_start,32,0.0
2,discontinued,3,1263.0
2,smooth_stable,3,479.0
