fold,in_selection,origin,model,segment,wape,overall_wape
2,True,2024-11-17,seasonal_naive,erratic,0.7341,0.7647
2,True,2024-11-17,seasonal_naive,lumpy,0.7867,0.7647
2,True,2024-11-17,seasonal_naive,intermittent,0.9767,0.7647
2,True,2024-11-17,trend_seasonal,erratic,0.7524,0.7805
2,True,2024-11-17,trend_seasonal,lumpy,0.8079,0.7805
2,True,2024-11-17,trend_seasonal,intermittent,1.0396,0.7805
2,True,2024-11-17,recent_level,erratic,1.0225,1.4911
2,True,2024-11-17,recent_level,lumpy,2.0863,1.4911
2,True,2024-11-17,recent_level,intermittent,4.7808,1.4911
2,True,2024-11-17,zero_forecast,erratic,1.0,1.0
2,True,2024-11-17,zero_forecast,lumpy,1.0,1.0
2,True,2024-11-17,zero_forecast,intermittent,1.0,1.0
2,True,2024-11-17,auto_ets,erratic,1.1034,1.9433
2,True,2024-11-17,auto_ets,lumpy,3.1889,1.9433
2,True,2024-11-17,auto_ets,intermittent,4.5616,1.9433
2,True,2024-11-17,theta,erratic,0.7851,1.226
2,True,2024-11-17,theta,lumpy,1.7734,1.226
2,True,2024-11-17,theta,intermittent,4.5839,1.226
2,True,2024-11-17,croston_sba,erratic,0.777,1.0417
2,True,2024-11-17,croston_sba,lumpy,1.3886,1.0417
2,True,2024-11-17,croston_sba,intermittent,2.5784,1.0417
2,True,2024-11-17,tsb,erratic,0.8012,1.1822
2,True,2024-11-17,tsb,lumpy,1.6833,1.1822
2,True,2024-11-17,tsb,intermittent,3.4998,1.1822
2,True,2024-11-17,compound_bernoulli,erratic,0.716,0.8261
2,True,2024-11-17,compound_bernoulli,lumpy,0.9883,0.8261
2,True,2024-11-17,compound_bernoulli,intermittent,0.9674,0.8261
2,True,2024-11-17,cluster_lgbm,erratic,0.662,0.8372
2,True,2024-11-17,cluster_lgbm,lumpy,1.0767,0.8372
2,True,2024-11-17,cluster_lgbm,intermittent,1.7217,0.8372
2,True,2024-11-17,chronos_tiny,erratic,0.7209,1.0854
2,True,2024-11-17,chronos_tiny,lumpy,1.4923,1.0854
2,True,2024-11-17,chronos_tiny,intermittent,4.7265,1.0854
2,True,2024-11-17,hurdle,erratic,0.7231,0.7773
2,True,2024-11-17,hurdle,lumpy,0.8541,0.7773
2,True,2024-11-17,hurdle,intermittent,0.7715,0.7773
2,True,2024-11-17,tweedie_glm,erratic,0.7198,0.7634
2,True,2024-11-17,tweedie_glm,lumpy,0.811,0.7634
2,True,2024-11-17,tweedie_glm,intermittent,0.9168,0.7634
2,True,2024-11-17,hierarchy_borrow,erratic,0.7341,0.7647
2,True,2024-11-17,hierarchy_borrow,lumpy,0.7867,0.7647
2,True,2024-11-17,hierarchy_borrow,intermittent,0.9767,0.7647
