fold,segment,n_skus,vol_26w
1,erratic,28,9443.0
1,lumpy,30,5213.0
1,smooth_stable,2,133.0
1,intermittent,7,883.0
1,promo_driven,1,182.0
1,cold_start,32,0.0
1,discontinued,4,128.0
