fold,segment,n_skus,vol_26w
4,erratic,36,34682.0
4,lumpy,30,22108.0
4,intermittent,17,4029.0
4,promo_driven,4,5449.0
4,smooth_stable,2,2025.0
4,cold_start,49,0.0
4,discontinued,1,430.0
