variant_id,source_variant_id,status
ac81cadf-613b-4ac9-bbdc-fd42563a4186,46550094676196,active
63ad7aaf-d962-47f1-991e-6b0eee1f3957,46550237053156,active
5404d34b-231c-4ea6-a76d-d81887fc114b,46606700773604,active
81611ba3-50cb-4f63-869e-a42b2c0410f7,46676464402660,active
ef68acef-6b9d-40a1-a401-21c7f9ce02c5,46711684071652,active
81dd2d16-d6f3-416f-b426-53bd601eb8d5,46718097883364,active
57fab1ad-63e0-4b8e-80ba-5663b110792a,46718151000292,active
b20e9bae-c323-4e7a-b953-8473d65eda06,46727738917092,active
362aaa57-4e64-4d25-9d0d-08430a3a5e23,46741965537508,active
628dc1b8-2a9d-43b1-9f59-185699c5befc,46859689361636,active
fba97963-7bc3-4f51-9ab0-5e6b6ad0b916,46895318892772,active
96d9f2a7-579e-424e-b3e8-5c76f47d3b1b,46895318925540,active
5f137280-431b-4ad8-b9dc-a9cebb32af97,47096911855844,active
b4b31d60-0b23-4235-a118-a7bc6be101b2,47134784749796,active
8c1b4cbd-cc35-4c29-98bf-2a7f0eb694e2,47134784782564,active
fb66c0b4-56dc-4b30-a8d0-4070eb864e29,47135120425188,active
c94a4c6c-e977-427d-bf12-f4045af00782,47146923426020,active
7f0b2b0f-8ceb-4013-88ee-e0599f726919,47163978252516,active
673ffe05-194d-4b20-8d95-b8b74a51dbe1,47164696396004,active
7b9261ec-7721-4949-bc1d-acc3a6979798,47166330700004,active
c76ca9a1-03dc-468f-bd26-436eb199b89b,47345895669988,active
0c6af043-ea68-4592-a858-a5bb63e6b194,47377544970468,active
a3dff3c6-7b8d-4723-bbb6-ca589e61ceef,47377545003236,active
1b649018-d16d-4159-8ff9-25c3778ced3a,47377545036004,active
c46b7467-9b3b-4caf-a914-c724ddcb729a,47377545068772,active
9b23b224-18fb-4720-afa8-7af40fefc705,47377545101540,active
3e39f621-ef8f-4cec-b0ac-b8cbcefcd2e5,47469147586788,active
ddcc1e4b-23f6-4111-8642-1d7908dd1f2f,47471694577892,active
23445c13-229f-42f1-bf90-9a406c6677f9,47482970439908,active
30a63025-a185-412d-99ff-59219a940cd3,47483342946532,active
a701d155-1529-4998-9d68-e9afdfb61759,47496899461348,active
7dbd4431-bf9e-4f51-8554-116d8ba6f548,47496899494116,active
72ba1dfd-9d77-4deb-a1af-a91245432370,47496899526884,active
2b79608e-cddd-4520-8171-13ed76f04db5,47496899559652,active
5af8fbd2-9c0e-42e3-9108-b55ef88dafec,47503415836900,active
3271241c-07cb-40ac-8e83-525b5b230a00,47503415869668,active
bf52b65a-7140-45c3-bef4-0f7ab3528982,47506473255140,active
991d9f5f-c2db-49b0-964d-9dd56519b3d8,47532233490660,active
44219bee-568c-4265-a5ff-b99c32548910,47644717777124,active
c0d7eec3-7e34-4113-9b73-c7f1d8dc5a14,47928054776036,active
0adfd108-239c-4709-83a9-bb1468298448,47948725584100,active
ead303b4-a7b8-4fd5-b342-86bc30ecac20,47959668457700,active
fc2cdedf-a60f-4a48-88fe-5d548e327a9a,47959697555684,active
a8e4ceb3-730d-4240-9085-bbaa9ac408a5,47965023011044,active
76221465-6e38-48fe-a01c-cda9074c6580,47965039296740,active
8c808e7d-e436-47e2-b560-a5d35e7cac94,47965061218532,active
8f47df1a-a676-4285-a612-f19853c33256,47965076422884,active
ad2f6d2b-5ac2-4898-91d2-eaf783e53020,48471030792420,active
5ef87b35-fceb-4188-bb15-32f356d6d6b5,48497187487972,active
df78562a-c883-4514-bd4b-b38b3777d125,48499310657764,active
af52ba28-1397-4610-9de2-9073a4d16f16,48557327810788,active
852f249f-32d4-4e2b-86c1-e8c975938b9c,48571454914788,active
f00462f5-0d84-4851-9a64-9409e3e7181c,48811160994020,active
3e4b3fcf-10ca-41c2-9f5d-54a13f780f89,48811386962148,active
13f51967-9ae6-4aed-8efa-fa1bde8ac0d7,48811794333924,active
9987cf46-5ad6-4c90-833b-ec4cbd2fd24e,48817299161316,active
104e2a2a-a438-4b7c-8736-8f9e881fe993,48817340186852,active
8c443705-7815-4d55-a476-76d635dcc209,48817380655332,active
8d2f7dbe-8fdf-4936-b556-f7cd9eb3615f,48817816240356,active
5c397e14-02b7-4f60-b735-54895265c9a0,48817816273124,active
ee1d8bc6-1b7b-44e5-8b15-321f159a4f4c,48817816305892,active
94940fe1-4b10-4719-be41-4b9ec93604e7,48818173378788,active
1928ba4a-6bcb-4b69-babc-4c78736839e6,48835553525988,active
58178239-f719-4bc0-a894-140b4fbfea99,48835809444068,active
d47b9d90-b7ad-43e0-a5f0-d9f41c1e8693,48835869540580,active
f8402a71-6fee-4c0a-8872-353c11cfe27f,48835913646308,active
660b1387-c92a-422a-84b8-7a872464f3d2,48874911138020,active
2e7dc060-dbad-4de2-b70a-059d0e7ee8c3,48924422570212,active
79f0a058-5c34-475d-9cea-999abcbcdac4,48954034127076,active
0d7ad535-fd63-4a7c-824c-aaf18c9d12d9,34778148536482,archived
0297e744-5604-486e-93f4-5414c8b9e783,34778148569250,archived
54ba646b-5333-4842-bbde-6b40a5a27998,34778148602018,archived
d09319ab-44c2-4a34-9432-c43d7cd02d60,34778369818786,archived
372b768b-a2ef-472c-86f1-dc53504934d3,34778893058210,archived
186544da-bf42-4084-bb6b-7135646af5d6,34778893090978,archived
03c26d31-d734-4894-b08a-b39812813f00,34778976747682,archived
